job_id,actor_id,event,language,time_spent,org,ds
85,1003,decision,English,98,D,11/29/2020
86,1024,decision,Hindi,91,C,11/7/2020
87,1009,skip,Persian,57,C,11/10/2020
88,1023,decision,English,84,C,11/3/2020
89,1012,decision,Hindi,111,A,11/29/2020
90,1042,skip,English,58,B,11/2/2020
91,1014,transfer,English,102,D,11/23/2020
92,1007,transfer,Arabic,15,B,11/18/2020
93,1029,transfer,Italian,66,D,11/23/2020
94,1042,decision,English,43,C,11/10/2020
95,1011,transfer,Arabic,78,B,11/28/2020
96,1013,transfer,French,40,B,11/6/2020
97,1017,decision,Persian,75,B,11/10/2020
98,1028,decision,French,73,C,11/20/2020
99,1010,decision,Arabic,69,C,11/25/2020
100,1039,decision,English,91,D,11/7/2020
101,1018,skip,Hindi,112,A,11/7/2020
102,1030,skip,English,50,C,11/24/2020
103,1044,decision,Persian,61,D,11/22/2020
104,1031,transfer,Persian,11,D,11/21/2020
105,1015,skip,Italian,20,D,11/8/2020
106,1020,transfer,English,98,B,11/12/2020
107,1020,skip,English,19,A,11/12/2020
108,1037,skip,Persian,21,B,11/29/2020
109,1018,transfer,Hindi,18,B,11/27/2020
110,1042,skip,English,54,D,11/2/2020
111,1013,skip,Italian,99,A,11/15/2020
112,1027,decision,English,100,B,11/23/2020
113,1022,skip,French,28,C,11/29/2020
114,1028,skip,Hindi,86,C,11/14/2020
115,1012,skip,Italian,54,B,11/25/2020
116,1041,decision,French,117,D,11/17/2020
117,1033,decision,French,12,D,11/22/2020
118,1029,decision,French,92,B,11/21/2020
119,1015,decision,Persian,69,D,11/4/2020
120,1017,skip,Arabic,111,C,11/15/2020
121,1022,decision,English,70,C,11/11/2020
122,1032,skip,English,107,B,11/3/2020
123,1035,skip,Hindi,107,B,11/7/2020
124,1001,transfer,Arabic,93,C,11/19/2020
125,1029,skip,Arabic,55,B,11/21/2020
126,1001,transfer,Italian,72,B,11/7/2020
127,1035,decision,English,37,C,11/9/2020
128,1047,decision,French,48,D,11/22/2020
129,1045,transfer,Arabic,103,D,11/8/2020
130,1028,skip,Arabic,99,A,11/29/2020
131,1003,decision,Arabic,89,B,11/3/2020
132,1037,skip,English,104,A,11/13/2020
133,1046,transfer,French,110,B,11/20/2020
134,1029,transfer,Hindi,82,C,11/19/2020
135,1003,decision,Hindi,20,A,11/19/2020
136,1049,skip,Arabic,15,B,11/24/2020
137,1026,transfer,Hindi,82,A,11/25/2020
138,1049,transfer,Persian,49,D,11/9/2020
139,1023,transfer,Italian,116,C,11/30/2020
140,1047,transfer,Italian,35,A,11/23/2020
141,1011,decision,English,34,C,11/23/2020
142,1045,skip,English,62,D,11/3/2020
143,1048,decision,English,12,B,11/15/2020
144,1042,transfer,Arabic,51,D,11/7/2020
145,1038,skip,Arabic,116,D,11/29/2020
146,1003,skip,Italian,31,B,11/11/2020
147,1001,skip,English,78,A,11/9/2020
148,1009,skip,English,111,C,11/18/2020
149,1020,transfer,Persian,120,D,11/29/2020
150,1014,decision,English,84,D,11/3/2020
151,1008,transfer,Persian,100,D,11/26/2020
152,1024,skip,Persian,76,D,11/1/2020
153,1048,transfer,English,13,B,11/23/2020
154,1026,skip,Hindi,116,B,11/2/2020
155,1014,decision,Italian,80,B,11/10/2020
156,1018,skip,French,36,B,11/28/2020
157,1038,transfer,Arabic,15,D,11/2/2020
158,1014,skip,Persian,87,C,11/1/2020
159,1047,skip,Arabic,60,A,11/16/2020
160,1022,decision,Arabic,34,C,11/13/2020
161,1008,decision,English,23,D,11/18/2020
162,1031,transfer,English,10,A,11/15/2020
163,1022,transfer,French,68,A,11/21/2020
164,1013,decision,Italian,95,D,11/24/2020
165,1015,skip,Italian,91,A,11/21/2020
166,1003,skip,French,47,A,11/30/2020
167,1001,decision,French,41,B,11/29/2020
168,1016,skip,Italian,91,C,11/23/2020
169,1030,transfer,Persian,92,C,11/15/2020
170,1011,decision,Arabic,38,B,11/5/2020
171,1014,transfer,Italian,119,D,11/7/2020
172,1045,skip,Arabic,18,A,11/17/2020
173,1035,skip,English,47,A,11/17/2020
174,1035,skip,French,57,A,11/12/2020
175,1009,decision,Italian,31,D,11/20/2020
176,1005,transfer,French,31,C,11/20/2020
177,1017,decision,Italian,58,D,11/9/2020
178,1033,skip,Hindi,69,D,11/30/2020
179,1006,transfer,Arabic,70,B,11/11/2020
180,1040,decision,Hindi,56,B,11/4/2020
181,1018,transfer,Italian,68,D,11/2/2020
182,1008,decision,Hindi,16,D,11/10/2020
183,1004,transfer,Hindi,60,D,11/19/2020
184,1034,skip,Persian,37,D,11/21/2020
185,1015,decision,Persian,23,A,11/6/2020
186,1006,transfer,Italian,56,D,11/2/2020
187,1035,decision,English,48,A,11/29/2020
188,1039,transfer,Persian,56,D,11/7/2020
189,1016,decision,English,101,B,11/1/2020
190,1009,skip,English,37,B,11/15/2020
191,1017,skip,Persian,30,B,11/18/2020
192,1048,decision,Persian,62,C,11/12/2020
193,1026,transfer,French,40,A,11/3/2020
194,1011,skip,French,64,C,11/25/2020
195,1027,skip,Italian,11,C,11/15/2020
196,1006,transfer,French,85,C,11/11/2020
197,1030,transfer,French,113,A,11/27/2020
198,1044,skip,English,13,A,11/29/2020
199,1046,skip,English,74,D,11/25/2020
200,1010,transfer,English,64,C,11/26/2020
201,1041,skip,Hindi,11,D,11/8/2020
202,1024,decision,Hindi,114,A,11/3/2020
203,1048,skip,Persian,76,C,11/6/2020
204,1021,transfer,Persian,91,D,11/29/2020
205,1043,decision,English,30,B,11/24/2020
206,1032,decision,Italian,76,A,11/23/2020
207,1033,skip,English,14,C,11/17/2020
208,1008,transfer,French,47,D,11/18/2020
209,1002,skip,English,79,C,11/3/2020
210,1013,skip,Arabic,100,D,11/28/2020
211,1012,skip,French,13,A,11/21/2020
212,1026,transfer,Persian,90,C,11/9/2020
213,1034,skip,Italian,80,D,11/3/2020
214,1026,decision,Arabic,102,A,11/29/2020
215,1005,decision,Arabic,70,B,11/7/2020
216,1012,skip,Arabic,95,B,11/1/2020
217,1048,decision,Arabic,16,A,11/25/2020
218,1005,transfer,Persian,82,B,11/1/2020
219,1021,transfer,French,65,D,11/9/2020
220,1050,decision,English,72,D,11/29/2020
221,1047,skip,Italian,59,A,11/9/2020
222,1025,transfer,English,79,D,11/6/2020
223,1023,skip,Arabic,28,D,11/3/2020
224,1040,decision,English,15,B,11/24/2020
225,1045,decision,English,67,D,11/28/2020
226,1048,skip,French,111,C,11/17/2020
227,1028,transfer,Arabic,29,A,11/16/2020
228,1009,skip,Arabic,55,A,11/6/2020
229,1025,decision,French,108,B,11/22/2020
230,1042,skip,Arabic,107,B,11/22/2020
231,1033,skip,Hindi,31,B,11/14/2020
232,1014,decision,Hindi,62,B,11/8/2020
233,1027,skip,Persian,17,C,11/6/2020
234,1047,transfer,Hindi,116,B,11/25/2020
235,1004,transfer,English,83,D,11/15/2020
236,1021,decision,Italian,70,D,11/9/2020
237,1031,decision,Persian,14,B,11/20/2020
238,1016,decision,Hindi,103,B,11/26/2020
239,1005,decision,Persian,77,A,11/17/2020
240,1006,skip,French,92,A,11/3/2020
241,1034,skip,Arabic,28,B,11/11/2020
242,1009,skip,Hindi,25,D,11/15/2020
243,1021,skip,French,117,C,11/3/2020
244,1040,skip,French,12,B,11/14/2020
245,1014,skip,Arabic,87,B,11/1/2020
246,1014,decision,Persian,65,C,11/5/2020
247,1001,transfer,Arabic,89,D,11/28/2020
248,1035,transfer,English,58,D,11/29/2020
249,1042,decision,Arabic,15,A,11/23/2020
250,1020,decision,Hindi,100,D,11/7/2020
251,1029,transfer,French,59,C,11/4/2020
252,1044,decision,French,108,B,11/29/2020
253,1030,transfer,Arabic,96,D,11/10/2020
254,1035,skip,English,83,D,11/17/2020
255,1005,skip,Italian,80,C,11/29/2020
256,1005,decision,Arabic,90,C,11/10/2020
257,1026,skip,English,119,B,11/19/2020
258,1043,decision,French,53,C,11/29/2020
259,1006,decision,Arabic,58,B,11/13/2020
260,1010,transfer,English,61,A,11/30/2020
261,1004,skip,English,43,D,11/13/2020
262,1029,decision,Italian,102,B,11/18/2020
263,1020,transfer,Persian,20,A,11/22/2020
264,1030,transfer,English,95,A,11/19/2020
265,1007,skip,Arabic,20,A,11/9/2020
266,1050,skip,Persian,36,D,11/13/2020
267,1041,transfer,English,60,C,11/24/2020
268,1009,transfer,Italian,65,B,11/2/2020
269,1027,decision,Persian,41,D,11/23/2020
270,1003,skip,English,31,D,11/20/2020
271,1038,decision,Persian,35,A,11/24/2020
272,1029,skip,Persian,83,A,11/28/2020
273,1031,skip,Persian,70,C,11/30/2020
274,1033,decision,English,14,C,11/24/2020
275,1050,skip,French,118,D,11/1/2020
276,1045,skip,Persian,91,A,11/12/2020
277,1016,skip,Italian,73,D,11/4/2020
278,1028,transfer,Persian,53,C,11/18/2020
279,1005,transfer,French,65,C,11/10/2020
280,1025,transfer,Persian,108,C,11/22/2020
281,1001,transfer,Hindi,97,C,11/4/2020
282,1022,decision,Italian,12,B,11/2/2020
283,1029,decision,Italian,48,B,11/6/2020
284,1023,skip,Arabic,100,D,11/27/2020
285,1011,skip,Hindi,60,A,11/28/2020
286,1018,transfer,Arabic,79,D,11/21/2020
287,1034,skip,English,65,B,11/15/2020
288,1041,decision,Persian,25,B,11/14/2020
289,1042,transfer,English,33,D,11/30/2020
290,1011,transfer,Persian,52,C,11/8/2020
291,1038,skip,Italian,14,C,11/30/2020
292,1033,skip,Italian,49,A,11/20/2020
293,1008,transfer,Italian,43,C,11/11/2020
294,1034,transfer,Italian,51,D,11/3/2020
295,1010,decision,French,51,B,11/13/2020
296,1036,skip,Italian,51,C,11/3/2020
297,1011,transfer,Arabic,58,C,11/22/2020
298,1002,decision,Italian,116,B,11/26/2020
299,1042,decision,English,88,B,11/13/2020
300,1013,skip,French,107,C,11/24/2020
301,1024,skip,Arabic,84,C,11/21/2020
302,1010,decision,Persian,77,D,11/26/2020
303,1049,transfer,Hindi,119,D,11/20/2020
304,1003,decision,Arabic,80,D,11/2/2020
305,1038,skip,Arabic,50,D,11/13/2020
306,1007,decision,French,87,A,11/24/2020
307,1044,decision,Italian,116,C,11/4/2020
308,1025,decision,Hindi,68,D,11/14/2020
309,1048,decision,English,11,A,11/22/2020
310,1005,decision,Arabic,82,D,11/24/2020
311,1031,decision,Hindi,105,C,11/13/2020
312,1045,decision,English,33,C,11/26/2020
313,1047,skip,Persian,45,A,11/30/2020
314,1046,decision,Hindi,89,D,11/5/2020
315,1049,decision,French,32,C,11/6/2020
316,1017,skip,Italian,106,D,11/8/2020
317,1027,decision,French,73,B,11/18/2020
318,1048,skip,French,28,B,11/29/2020
319,1018,transfer,Hindi,23,D,11/26/2020
320,1008,skip,French,54,C,11/7/2020
321,1039,skip,Arabic,96,C,11/8/2020
322,1025,decision,English,69,D,11/25/2020
323,1017,skip,Hindi,14,A,11/4/2020
324,1013,decision,French,72,B,11/8/2020
325,1047,skip,Arabic,93,B,11/4/2020
326,1002,transfer,Arabic,76,D,11/16/2020
327,1048,decision,Persian,35,A,11/24/2020
328,1025,decision,English,107,C,11/5/2020
329,1037,decision,English,116,D,11/4/2020
330,1035,decision,Hindi,117,A,11/14/2020
331,1010,skip,English,70,D,11/8/2020
332,1049,skip,French,76,A,11/11/2020
333,1046,skip,English,100,D,11/15/2020
334,1008,skip,Italian,116,B,11/30/2020
335,1024,decision,Hindi,31,D,11/20/2020
336,1007,transfer,French,105,B,11/12/2020
337,1043,decision,Arabic,84,A,11/2/2020
338,1026,decision,Persian,17,A,11/2/2020
339,1019,decision,Hindi,41,A,11/13/2020
340,1049,transfer,French,49,D,11/13/2020
341,1017,transfer,French,63,A,11/17/2020
342,1032,skip,French,12,B,11/10/2020
343,1041,skip,Persian,45,C,11/13/2020
344,1022,transfer,Hindi,119,A,11/12/2020
345,1046,skip,English,94,C,11/28/2020
346,1031,decision,Italian,120,D,11/28/2020
347,1037,decision,Hindi,58,B,11/10/2020
348,1031,decision,Italian,21,B,11/25/2020
349,1036,transfer,French,97,C,11/19/2020
350,1021,transfer,Italian,114,B,11/7/2020
351,1048,decision,Arabic,28,B,11/19/2020
352,1050,transfer,Hindi,40,D,11/27/2020
353,1031,transfer,Arabic,118,B,11/27/2020
354,1020,transfer,Italian,100,B,11/16/2020
355,1036,transfer,English,101,B,11/28/2020
356,1036,skip,Hindi,86,C,11/1/2020
357,1027,skip,English,81,C,11/12/2020
358,1025,decision,French,107,D,11/2/2020
359,1034,decision,Arabic,120,A,11/2/2020
360,1021,decision,Arabic,65,D,11/20/2020
361,1047,skip,Hindi,65,C,11/15/2020
362,1021,transfer,English,120,C,11/1/2020
363,1048,skip,French,36,D,11/13/2020
364,1045,transfer,English,117,B,11/5/2020
365,1011,transfer,English,25,A,11/12/2020
366,1036,decision,Arabic,75,B,11/13/2020
367,1007,transfer,English,85,A,11/7/2020
368,1012,transfer,English,74,D,11/14/2020
369,1027,decision,Persian,89,D,11/23/2020
370,1043,skip,Persian,72,D,11/14/2020
371,1018,decision,Italian,41,D,11/10/2020
372,1011,decision,Hindi,31,A,11/26/2020
373,1034,skip,Italian,112,A,11/23/2020
374,1011,skip,Italian,35,C,11/9/2020
375,1011,skip,Arabic,32,A,11/22/2020
376,1012,skip,Persian,118,C,11/11/2020
377,1042,skip,French,104,B,11/2/2020
378,1049,transfer,Arabic,17,A,11/19/2020
379,1017,transfer,Persian,105,C,11/15/2020
380,1003,decision,French,118,B,11/5/2020
381,1028,skip,English,107,C,11/27/2020
382,1015,skip,French,92,D,11/20/2020
383,1031,decision,French,78,B,11/2/2020
384,1012,transfer,Persian,34,B,11/20/2020
385,1036,skip,Arabic,75,A,11/13/2020
386,1040,skip,Italian,73,C,11/13/2020
387,1027,skip,Hindi,87,B,11/10/2020
388,1033,transfer,Arabic,15,A,11/29/2020
389,1050,transfer,Italian,42,B,11/6/2020
390,1050,transfer,Italian,45,C,11/24/2020
391,1038,transfer,Persian,120,A,11/4/2020
392,1042,skip,Italian,120,C,11/30/2020
393,1022,decision,English,56,B,11/4/2020
394,1027,decision,French,83,C,11/7/2020
395,1043,decision,Persian,97,C,11/6/2020
396,1006,skip,Hindi,74,B,11/17/2020
397,1010,decision,English,82,A,11/22/2020
398,1047,decision,Italian,72,C,11/25/2020
399,1019,transfer,French,77,D,11/10/2020
400,1014,decision,French,53,D,11/18/2020
401,1031,decision,Persian,48,C,11/4/2020
402,1006,transfer,English,118,D,11/19/2020
403,1050,skip,Persian,78,D,11/1/2020
404,1005,skip,Italian,113,A,11/7/2020
405,1019,skip,French,92,D,11/24/2020
406,1012,decision,Arabic,73,B,11/17/2020
407,1029,transfer,English,15,C,11/15/2020
408,1035,skip,Italian,35,C,11/20/2020
409,1019,skip,English,73,C,11/11/2020
410,1005,decision,Arabic,34,C,11/29/2020
411,1021,decision,English,120,B,11/1/2020
412,1049,decision,English,11,C,11/14/2020
413,1030,skip,English,73,C,11/28/2020
414,1019,transfer,Arabic,32,A,11/12/2020
415,1005,transfer,Hindi,66,B,11/16/2020
416,1045,decision,Italian,93,A,11/23/2020
417,1033,decision,Hindi,113,C,11/19/2020
418,1041,skip,Persian,70,A,11/11/2020
419,1037,skip,French,112,A,11/3/2020
420,1040,skip,English,35,C,11/22/2020
421,1016,transfer,Hindi,106,C,11/7/2020
422,1017,transfer,Italian,37,C,11/15/2020
423,1024,decision,Persian,41,A,11/19/2020
424,1004,transfer,English,57,A,11/8/2020
425,1034,transfer,French,64,A,11/13/2020
426,1043,decision,English,54,D,11/25/2020
427,1024,decision,Arabic,90,A,11/23/2020
428,1003,transfer,Persian,63,C,11/13/2020
429,1008,decision,French,65,D,11/8/2020
430,1002,transfer,Hindi,17,A,11/11/2020
431,1006,skip,Persian,117,A,11/14/2020
432,1010,skip,Persian,86,B,11/20/2020
433,1025,decision,French,15,C,11/27/2020
434,1004,transfer,English,65,B,11/26/2020
435,1041,skip,English,54,A,11/19/2020
436,1036,decision,Arabic,117,A,11/28/2020
437,1035,transfer,English,47,A,11/22/2020
438,1025,transfer,Hindi,75,B,11/6/2020
439,1025,skip,Arabic,67,C,11/21/2020
440,1012,transfer,English,11,C,11/5/2020
441,1044,transfer,Italian,78,D,11/7/2020
442,1040,transfer,French,110,B,11/17/2020
443,1040,decision,French,37,C,11/4/2020
444,1008,skip,English,118,C,11/1/2020
445,1003,transfer,Persian,119,D,11/9/2020
446,1015,skip,French,95,A,11/3/2020
447,1012,skip,Italian,39,B,11/16/2020
448,1001,decision,Italian,11,C,11/27/2020
449,1027,skip,Persian,116,A,11/19/2020
450,1038,skip,Italian,96,C,11/14/2020
451,1022,skip,French,16,D,11/5/2020
452,1026,skip,Persian,67,D,11/21/2020
453,1044,transfer,Italian,25,D,11/23/2020
454,1042,transfer,Italian,12,C,11/6/2020
455,1033,decision,French,108,D,11/10/2020
456,1034,skip,Italian,61,B,11/1/2020
457,1035,transfer,English,101,C,11/14/2020
458,1043,decision,English,25,D,11/10/2020
459,1002,decision,French,25,B,11/11/2020
460,1042,skip,French,75,D,11/8/2020
461,1007,transfer,French,89,B,11/25/2020
462,1028,skip,French,12,B,11/11/2020
463,1032,transfer,French,71,C,11/26/2020
464,1015,decision,Hindi,102,D,11/7/2020
465,1006,transfer,French,63,A,11/17/2020
466,1032,transfer,English,32,A,11/28/2020
467,1045,skip,French,79,B,11/30/2020
468,1023,transfer,English,11,C,11/20/2020
469,1001,decision,English,35,C,11/7/2020
470,1030,skip,Italian,99,C,11/12/2020
471,1033,skip,Hindi,62,C,11/8/2020
472,1004,decision,Italian,43,C,11/24/2020
473,1043,transfer,Italian,24,A,11/2/2020
474,1049,skip,Italian,57,C,11/2/2020
475,1022,transfer,Italian,66,A,11/23/2020
476,1008,decision,Italian,37,D,11/2/2020
477,1039,decision,Hindi,71,A,11/30/2020
478,1031,transfer,Hindi,32,D,11/27/2020
479,1020,decision,Persian,89,A,11/15/2020
480,1009,transfer,English,78,A,11/5/2020
481,1043,skip,English,43,A,11/11/2020
482,1008,skip,Hindi,64,A,11/3/2020
483,1029,decision,French,92,B,11/9/2020
484,1006,decision,Hindi,33,C,11/19/2020
485,1003,skip,Arabic,67,C,11/21/2020
486,1023,transfer,Persian,32,B,11/23/2020
487,1005,transfer,French,46,D,11/26/2020
488,1024,decision,Italian,115,A,11/26/2020
489,1037,decision,Hindi,18,C,11/12/2020
490,1001,transfer,French,23,B,11/20/2020
491,1024,decision,French,98,A,11/20/2020
492,1025,skip,Italian,106,D,11/20/2020
493,1011,decision,Arabic,40,C,11/13/2020
494,1008,skip,Italian,74,C,11/29/2020
495,1014,skip,Italian,45,C,11/12/2020
496,1006,decision,English,120,B,11/23/2020
497,1044,transfer,Italian,24,A,11/7/2020
498,1002,skip,French,53,A,11/6/2020
499,1026,skip,Italian,110,C,11/7/2020
500,1043,decision,Italian,39,D,11/13/2020
501,1021,transfer,Italian,53,A,11/13/2020
502,1024,decision,French,64,C,11/30/2020
503,1023,transfer,English,48,C,11/21/2020
504,1042,transfer,French,82,B,11/19/2020
505,1016,skip,Persian,64,C,11/22/2020
506,1011,skip,French,52,A,11/13/2020
507,1001,transfer,Arabic,57,C,11/24/2020
508,1037,decision,French,49,B,11/21/2020
509,1004,decision,Italian,102,D,11/11/2020
510,1020,decision,Italian,14,D,11/18/2020
511,1040,decision,French,83,D,11/21/2020
512,1024,decision,Arabic,81,A,11/24/2020
513,1009,decision,Arabic,88,B,11/8/2020
514,1043,decision,Arabic,49,D,11/22/2020
515,1038,decision,Persian,71,D,11/29/2020
516,1011,transfer,French,77,C,11/17/2020
517,1013,skip,Arabic,80,A,11/21/2020
518,1023,decision,Arabic,78,C,11/7/2020
519,1031,decision,English,54,A,11/12/2020
520,1031,decision,French,43,D,11/16/2020
521,1010,transfer,Hindi,61,D,11/3/2020
522,1044,decision,English,19,D,11/7/2020
523,1045,transfer,English,105,D,11/17/2020
524,1031,decision,French,48,C,11/30/2020
525,1034,decision,Hindi,55,A,11/7/2020
526,1002,decision,English,96,B,11/25/2020
527,1045,decision,Persian,36,C,11/25/2020
528,1005,transfer,English,69,A,11/25/2020
529,1043,transfer,French,81,B,11/28/2020
530,1038,skip,French,110,D,11/28/2020
531,1022,skip,Italian,21,B,11/16/2020
532,1024,decision,Arabic,30,D,11/26/2020
533,1046,transfer,Persian,48,A,11/30/2020
534,1006,skip,Persian,22,D,11/27/2020
535,1026,decision,Hindi,45,B,11/5/2020
536,1026,skip,Italian,90,B,11/5/2020
537,1006,transfer,French,102,C,11/17/2020
538,1044,skip,Arabic,53,D,11/9/2020
539,1047,transfer,Persian,34,D,11/8/2020
540,1027,skip,Hindi,112,C,11/21/2020
541,1006,decision,Persian,36,A,11/23/2020
542,1035,skip,Italian,93,C,11/23/2020
543,1024,decision,Hindi,55,B,11/6/2020
544,1045,transfer,Italian,49,C,11/19/2020
545,1006,transfer,Italian,95,B,11/30/2020
546,1023,transfer,Persian,10,C,11/3/2020
547,1045,decision,Arabic,11,D,11/29/2020
548,1042,transfer,French,93,A,11/3/2020
549,1045,decision,Arabic,36,D,11/19/2020
550,1017,transfer,French,27,A,11/6/2020
551,1047,transfer,Arabic,55,B,11/6/2020
552,1041,skip,Persian,49,D,11/10/2020
553,1016,decision,Persian,76,C,11/17/2020
554,1044,transfer,Persian,101,D,11/3/2020
555,1031,decision,French,63,D,11/24/2020
556,1033,skip,French,21,D,11/19/2020
557,1035,decision,English,45,B,11/8/2020
558,1039,decision,Persian,26,B,11/10/2020
559,1019,decision,Arabic,118,A,11/6/2020
560,1007,skip,Arabic,78,A,11/14/2020
561,1041,decision,English,62,B,11/25/2020
562,1008,skip,Hindi,109,D,11/13/2020
563,1018,transfer,Hindi,39,C,11/30/2020
564,1014,transfer,Italian,77,B,11/20/2020
565,1033,decision,English,108,C,11/8/2020
566,1021,skip,Persian,104,B,11/16/2020
567,1048,transfer,Persian,29,D,11/10/2020
568,1020,skip,English,115,B,11/16/2020
569,1040,transfer,English,77,A,11/8/2020
570,1046,transfer,English,70,A,11/12/2020
571,1010,skip,English,87,D,11/18/2020
572,1008,transfer,English,12,C,11/16/2020
573,1046,transfer,Hindi,20,B,11/18/2020
574,1002,transfer,Italian,25,D,11/30/2020
575,1040,transfer,French,71,A,11/3/2020
576,1030,skip,English,61,A,11/20/2020
577,1042,transfer,English,92,A,11/7/2020
578,1018,decision,Hindi,95,C,11/16/2020
579,1017,skip,Italian,34,A,11/4/2020
580,1022,decision,Arabic,90,C,11/4/2020
581,1027,skip,French,98,B,11/17/2020
582,1026,decision,Persian,37,B,11/2/2020
583,1014,transfer,Italian,105,D,11/15/2020
584,1039,skip,French,10,A,11/14/2020
585,1022,decision,Italian,24,A,11/25/2020
586,1008,decision,Hindi,56,B,11/19/2020
587,1006,transfer,Hindi,101,A,11/15/2020
588,1030,skip,Italian,42,C,11/16/2020
589,1050,skip,Hindi,50,B,11/13/2020
590,1004,decision,Hindi,12,A,11/19/2020
591,1050,decision,Hindi,74,D,11/12/2020
592,1028,skip,French,45,D,11/30/2020
593,1019,decision,Persian,29,D,11/15/2020
594,1040,transfer,Italian,119,B,11/9/2020
595,1001,decision,Persian,18,B,11/12/2020
596,1030,skip,English,108,B,11/10/2020
597,1035,skip,Hindi,31,D,11/5/2020
598,1006,skip,Italian,96,D,11/2/2020
599,1028,skip,Arabic,59,D,11/25/2020
600,1032,decision,Arabic,27,C,11/16/2020
601,1007,decision,Arabic,70,B,11/24/2020
602,1007,skip,Arabic,23,B,11/3/2020
603,1019,decision,Persian,46,C,11/7/2020
